"egyptianculture","sub","wikidata"
"http://dbpedia.org/resource/Category:Book_of_the_Dead","http://dbpedia.org/resource/Joseph_Smith_Hypocephalus","http://www.wikidata.org/entity/Q6287065"
"http://dbpedia.org/resource/Category:Book_of_the_Dead","http://dbpedia.org/resource/Book_of_Joseph_(Latter_Day_Saints)",
"http://dbpedia.org/resource/Category:Book_of_the_Dead","http://dbpedia.org/resource/Weighing_of_the_Heart",
"http://dbpedia.org/resource/Category:Egyptian_culture","http://dbpedia.org/resource/Tahtib","http://www.wikidata.org/entity/Q254093"
"http://dbpedia.org/resource/Category:Egyptian_culture","http://dbpedia.org/resource/Egyptian_egg_oven","http://www.wikidata.org/entity/Q5348471"
"http://dbpedia.org/resource/Category:Egyptian_culture","http://dbpedia.org/resource/Egyptian_units_of_measurement","http://www.wikidata.org/entity/Q22935718"
"http://dbpedia.org/resource/Category:Egyptian_culture","http://dbpedia.org/resource/El_Sawy_Culture_Wheel","http://www.wikidata.org/entity/Q4165845"
"http://dbpedia.org/resource/Category:Egyptian_culture","http://dbpedia.org/resource/Supreme_Council_of_Antiquities","http://www.wikidata.org/entity/Q40535"
"http://dbpedia.org/resource/Category:Egyptian_culture","http://dbpedia.org/resource/Mombar","http://www.wikidata.org/entity/Q6868659"
"http://dbpedia.org/resource/Category:Egyptian_culture","http://dbpedia.org/resource/Scarab_ring","http://www.wikidata.org/entity/Q60744726"
"http://dbpedia.org/resource/Category:Egyptian_culture","http://dbpedia.org/resource/Abaza_family","http://www.wikidata.org/entity/Q18122904"
"http://dbpedia.org/resource/Category:Egyptian_culture","http://dbpedia.org/resource/Eagle_of_Saladin","http://www.wikidata.org/entity/Q358209"
"http://dbpedia.org/resource/Category:Egyptian_culture","http://dbpedia.org/resource/Cinema_of_Egypt","http://www.wikidata.org/entity/Q2600111"
"http://dbpedia.org/resource/Category:Egyptian_culture","http://dbpedia.org/resource/Badlah_(Egyptian_folklore_costume)","http://www.wikidata.org/entity/Q4879280"
"http://dbpedia.org/resource/Category:Egyptian_culture","http://dbpedia.org/resource/Baladi","http://www.wikidata.org/entity/Q804596"
"http://dbpedia.org/resource/Category:Egyptian_culture","http://dbpedia.org/resource/Sham_Ennessim","http://www.wikidata.org/entity/Q3312662"
"http://dbpedia.org/resource/Category:Egyptian_culture","http://dbpedia.org/resource/Ministry_of_Culture_(Egypt)","http://www.wikidata.org/entity/Q3064288"
"http://dbpedia.org/resource/Category:Egyptian_culture","http://dbpedia.org/resource/Charioteer_Papyrus","http://www.wikidata.org/entity/Q5074373"
"http://dbpedia.org/resource/Category:Egyptian_culture","http://dbpedia.org/resource/Mawwal","http://www.wikidata.org/entity/Q2893435"
"http://dbpedia.org/resource/Category:Egyptian_culture","http://dbpedia.org/resource/Maqsoum","http://www.wikidata.org/entity/Q6754289"
"http://dbpedia.org/resource/Category:Egyptian_culture","http://dbpedia.org/resource/Speed-ball","http://www.wikidata.org/entity/Q1117866"
"http://dbpedia.org/resource/Category:Egyptian_culture","http://dbpedia.org/resource/Khawal","http://www.wikidata.org/entity/Q22935804"
"http://dbpedia.org/resource/Category:Egyptian_culture","http://dbpedia.org/resource/Music_of_Egypt","http://www.wikidata.org/entity/Q18129813"
"http://dbpedia.org/resource/Category:Egyptian_culture","http://dbpedia.org/resource/Comité_de_Conservation_des_Monuments_de_l'Art_Arabe","http://www.wikidata.org/entity/Q16890528"
